--------------------------------
time: Fri May 20 14:28:31 2016
----------- process: ------------
Name: System Idle Process, PID: 0, Usage: 4096
Name: System, PID: 4, Usage: 54067200
Name: smss.exe, PID: 400, Usage: 614400
Name: csrss.exe, PID: 536, Usage: 1933312
Name: wininit.exe, PID: 628, Usage: 2998272
Name: services.exe, PID: 676, Usage: 4759552
Name: lsass.exe, PID: 684, Usage: 12173312
Name: svchost.exe, PID: 840, Usage: 13963264
Name: svchost.exe, PID: 896, Usage: 8183808
Name: svchost.exe, PID: 1008, Usage: 16285696
Name: svchost.exe, PID: 92, Usage: 84803584
Name: svchost.exe, PID: 420, Usage: 4456448
Name: WUDFHost.exe, PID: 800, Usage: 1933312
Name: svchost.exe, PID: 1148, Usage: 21139456
Name: svchost.exe, PID: 1188, Usage: 50880512
Name: svchost.exe, PID: 1196, Usage: 18825216
Name: AvastSvc.exe, PID: 1736, Usage: 40939520
Name: svchost.exe, PID: 1748, Usage: 19582976
Name: spoolsv.exe, PID: 2024, Usage: 5218304
Name: svchost.exe, PID: 2084, Usage: 18690048
Name: svchost.exe, PID: 2100, Usage: 16273408
Name: svchost.exe, PID: 2160, Usage: 4509696
Name: Service_KMS.exe, PID: 2172, Usage: 18014208
Name: svchost.exe, PID: 3264, Usage: 3436544
Name: dasHost.exe, PID: 5440, Usage: 4116480
Name: csrss.exe, PID: 7016, Usage: 6385664
Name: winlogon.exe, PID: 7708, Usage: 7815168
Name: dwm.exe, PID: 5644, Usage: 45019136
Name: SynTPEnh.exe, PID: 200, Usage: 18952192
Name: RuntimeBroker.exe, PID: 600, Usage: 50925568
Name: sihost.exe, PID: 4008, Usage: 18415616
Name: taskhostw.exe, PID: 2108, Usage: 39395328
Name: explorer.exe, PID: 2056, Usage: 105762816
Name: ShellExperienceHost.exe, PID: 3592, Usage: 58859520
Name: SearchUI.exe, PID: 4852, Usage: 91553792
Name: SynTPHelper.exe, PID: 6488, Usage: 3829760
Name: igfxtray.exe, PID: 7980, Usage: 8126464
Name: hkcmd.exe, PID: 7932, Usage: 7839744
Name: igfxpers.exe, PID: 4536, Usage: 8888320
Name: AvastUI.exe, PID: 4364, Usage: 22695936
Name: fontdrvhost.exe, PID: 5696, Usage: 2826240
Name: pycharm.exe, PID: 7632, Usage: 533352448
Name: svchost.exe, PID: 4532, Usage: 12877824
Name: fsnotifier.exe, PID: 7868, Usage: 2719744
Name: conhost.exe, PID: 4684, Usage: 7942144
Name: ApplicationFrameHost.exe, PID: 1540, Usage: 22233088
Name: Microsoft.Photos.exe, PID: 5824, Usage: 50819072
Name: WmiPrvSE.exe, PID: 7264, Usage: 7626752
Name: Taskmgr.exe, PID: 7072, Usage: 32960512
Name: SearchIndexer.exe, PID: 6620, Usage: 31850496
Name: taskeng.exe, PID: 608, Usage: 6103040
Name: SearchProtocolHost.exe, PID: 7552, Usage: 10981376
Name: armsvc.exe, PID: 2556, Usage: 6008832
Name: AppleMobileDeviceService.exe, PID: 7420, Usage: 12144640
Name: sqlwriter.exe, PID: 7180, Usage: 7139328
Name: python.exe, PID: 7100, Usage: 15458304
Name: conhost.exe, PID: 6880, Usage: 9134080
Name: iexplore.exe, PID: 5140, Usage: 35610624
Name: iexplore.exe, PID: 7936, Usage: 35405824
Name: SearchFilterHost.exe, PID: 7320, Usage: 7987200
Name: WmiPrvSE.exe, PID: 2928, Usage: 7860224
---------- services: ------------
Name: AdobeARMservice, Type: Own Process, Works for: 2556
Name: Appinfo, Type: Share Process, Works for: 1188
Name: Apple Mobile Device Service, Type: Own Process, Works for: 7420
Name: AppMgmt, Type: Share Process, Works for: 1188
Name: AudioEndpointBuilder, Type: Share Process, Works for: 92
Name: Audiosrv, Type: Share Process, Works for: 1148
Name: avast! Antivirus, Type: Share Process, Works for: 1736
Name: BFE, Type: Share Process, Works for: 1748
Name: BrokerInfrastructure, Type: Share Process, Works for: 840
Name: CertPropSvc, Type: Share Process, Works for: 1188
Name: CoreMessagingRegistrar, Type: Share Process, Works for: 1748
Name: CryptSvc, Type: Share Process, Works for: 1008
Name: DcomLaunch, Type: Share Process, Works for: 840
Name: DeviceAssociationService, Type: Share Process, Works for: 92
